breed_name,type,also_known_as,native_region,coat_colour,horn_type,body_type,milk_yield_per_lactation_kg,fat_percentage,primary_use,climate_suitability,feeding_advice,source
banni,Buffalo,Kuchi / Mehsani relative,Kutch region Gujarat,Black or Copper brown,Inverted double spiral,Medium to large body,1500–2500,7.0–8.5%,Dairy,Arid and semi-arid,Night grazing on saline pastures + green fodder,ICAR-NBAGR
bargur,Buffalo,Bargur Buffalo,Erode Tamil Nadu,Black or dark brown,Curved backward and upward,Compact and rugged,800–1200,7.0–8.0%,Dual Purpose,Hilly and forest terrain,Forest grazing + local green roughage,ICAR-NBAGR
bhadwari,Buffalo,Bhadawari,Agra UP / Bhind MP,Copper red or dark brown,Sickle shaped curved back,Wedge shaped medium body,800–1300,6.0–13.0%,High Fat Dairy,Semi-arid and plains,Dry fodder + mineral supplementation,ICAR-CIRB / NBAGR
Chhattisgarhi,Buffalo,Deshi Buffalo,Chhattisgarh plains,Jet black or dark grey,Medium sickle curved,Medium build,900–1400,6.5–7.5%,Draft and Dairy,Sub-tropical monsoon,Local grass grazing + concentrate mix,ICAR-NBAGR
chilika,Buffalo,Deshi Chilika,Chilika Lake Odisha,Black or dark grey,Medium curved horns,Compact body,500–900,7.0–8.5%,Dairy and Draft,Brackish / wetland coastal,Submerged aquatic weeds + coastal grass,ICAR-NBAGR
gojri,Buffalo,Gujjari,Punjab / Himachal Pradesh,Dark brown to black,Sickle shaped,Robust large frame,1000–1800,6.5–7.5%,Dairy,Hilly and temperate,Alpine pasture grazing + green fodder,ICAR-NBAGR
Jaffarabadi,Buffalo,Jafri / Gir Buffalo,Saurashtra Gujarat,Jet Black,Heavy broad flat drooping horns,Massive heavy body,2000–3000,7.5–8.5%,Dairy,Semi-arid coastal,High protein green fodder + cotton seed cake,ICAR-CIRB / NBAGR
kalahandi,Buffalo,Pedda Kimedi,Kalahandi Odisha,Blackish grey,Medium curved backward,Medium build,700–1100,6.5–7.5%,Dual Purpose,Tropical monsoon,Forest grazing + crop residues,ICAR-NBAGR
luit,Buffalo,Swamp Buffalo,Assam / North East,Grey to ash black,Broad crescent shaped,Stocky swamp type,400–800,6.0–7.0%,Draft and Dairy,High humidity wetlands,Marshland grazing + natural pasture,ICAR-NBAGR
marathwada,Buffalo,Marathwadi,Marathwada Maharashtra,Blackish grey,Long flat parallel curved,Medium light body,900–1500,7.0–8.0%,Dual Purpose,Drought prone semi-arid,Dry crop fodder + limited green roughage,ICAR-NBAGR
mehsana,Buffalo,Mehsani,Mehsana Gujarat,Black to brown,Slightly curled inward,Long body intermediate to Murrah,1800–2600,7.0–8.0%,Dairy,Semi-arid,Balanced green fodder + concentrate ration,ICAR-CIRB / NBAGR
murrah,Buffalo,Delhi / Black Gold,Haryana / Punjab,Jet Black,Short and tightly curled,Massive deep body,1800–3000,7.0–8.0%,Dairy,Tropical and sub-tropical,Leguminous green fodder + mineral mixture,ICAR-CIRB / NDDB
nagpuri,Buffalo,Elitchpuri,Vidarbha Maharashtra,Black,Very long flat sword-like,Compact medium build,700–1200,7.0–8.5%,Dual Purpose,Semi-arid dry climate,Dry jowar fodder + grazing,ICAR-CIRB / NBAGR
nili-ravi,Buffalo,Panch Kalyani,Sutlej Valley Punjab,Black or brown with white markings,Small tightly curled,Massive deep frame,1500–2500,6.5–7.5%,Dairy,Irrigated riverine plains,Green berseem + maize fodder,ICAR-CIRB / NBAGR
pandharpuri,Buffalo,Dharwari,Southern Maharashtra,Dark black,Very long flat horns (up to 150cm),Medium light compact,1200–2000,7.0–8.0%,Dairy,Dry climate,Sugarcane tops + green fodder,ICAR-NBAGR
surti,Buffalo,Deccani / Nadiadi,Charotar Gujarat,Rusty brown to black,Sickle shaped flat horns,Medium well-shaped body,1300–2100,7.5–8.5%,Dairy,Semi-arid plains,Green fodder + agricultural byproducts,ICAR-CIRB / NBAGR
toda,Buffalo,Toda Buffalo,Nilgiris Tamil Nadu,Fawn and ash grey,Long crescent curved,Heavy front compact body,500–900,8.0–9.0%,Cultural and Dairy,High altitude temperate,Highland pasture grazing,ICAR-NBAGR
